Jenis,Tipe,Kursi,Silinder,CC,Tenaga,Keyles_Entry,SS_Button,BBM,Transmisi,Turbo,ADAS,Harga
Hatchback,Brio,5,4,1199,89,Yes,No,Bensin,CVT,No,No,237.400.000
Crossover,WR-V,5,4,1498,119,Yes,Yes,Bensin,CVT,No,Yes,309.900.000
MPV,Kijang Innova,7,4,2393,147,Yes,No,Diesel,Automatic,No,No,471.900.000
Crossover,HRV,5,4,1498,175,Yes,Yes,Bensin,CVT,Yes,Yes,515.900.000
MPV,Xpander,7,4,1499,104,Yes,Yes,Bensin,CVT,No,No,307.100.000
MPV,Avanza,7,4,1496,105,Yes,Yes,Bensin,CVT,No,Yes,295.800.000
Hatchback,Ayla,5,4,1197,87,No,No,Bensin,Automatic,No,No,172.550.000
SUV,Rush,7,4,1496,103,Yes,Yes,Bensin,Automatic,No,No,302.200.000
SUV,Raize,5,3,998,97,Yes,Yes,Bensin,CVT,Yes,Yes,301.900.000
MPV,Sigra,7,4,1197,87,Yes,No,Bensin,Automatic,No,No,174.700.000
SUV,BRV,5,4,1497,119,Yes,Yes,Bensin,CVT,No,Yes,348.600.000
SUV,Pajero,7,4,2442,179,Yes,Yes,Diesel,Automatic,No,Yes,723.500.000
SUV,Fortuner,7,4,2755,200,Yes,Yes,Diesel,Automatic,No,No,715.350.000
Sedan,3 Series,5,4,1998,258,Yes,Yes,Bensin,Automatic,Yes,No,1.150.000.000
Sedan,C Class,5,4,1991,258,Yes,Yes,Bensin,Automatic,Yes,Yes,1.250.000.000
Sedan,Corolla Altis,5,4,1798,138,Yes,Yes,Bensin,CVT,No,Yes,514.200.000
Crossover,Citroen C3,5,3,1199,81,Yes,Yes,Bensin,Manual,No,No,224.000.000
Sedan,Camry,5,4,2494,180,Yes,Yes,Bensin,Manual,No,Yes,741.700.000
MPV,Innova Zennix,7,4,1987,172,Yes,Yes,Bensin,CVT,No,Yes,467.000.000
Hatchback,Baleno,5,4,1462,103,Yes,Yes,Bensin,Automatic,No,Yes,274.900.000
Sedan,MG 5 GT,5,4,1498,112,Yes,Yes,Bensin,CVT,No,No,399.900.000
Crossover,Creta,5,4,1497,113,Yes,Yes,Bensin,CVT,No,Yes,404.000.000
Hatchback,Yaris,5,4,1496,106,Yes,Yes,Bensin,CVT,No,No,325.100.000
Hatchback,Mazda 2,5,4,1496,109,Yes,Yes,Bensin,Automatic,No,No,338.800.000
Crossover,GLA Class,5,4,1991,306,Yes,Yes,Bensin,Automatic,Yes,Yes,1.380.000.000
Crossover,T-Cross,5,3,999,115,Yes,Yes,Bensin,Automatic,Yes,No,488.000.000
MPV,Alphard,7,6,3456,296,Yes,Yes,Bensin,Automatic,No,Yes,1.620.000.000
MPV,Voxy,7,4,1986,168,Yes,Yes,Bensin,Automatic,No,Yes,579.500.000
SUV,Rocky,5,3,998,97,Yes,Yes,Bensin,Automatic,Yes,Yes,270.100.000
MPV,Stargazer,7,4,1497,113,Yes,Yes,Bensin,Automatic,No,Yes,307.100.000
MPV,Grand Carnival,11,4,2151,199,Yes,Yes,Diesel,Automatic,Yes,Yes,828.000.000
SUV,Palisade,7,4,2199,197,Yes,Yes,Diesel,Automatic,Yes,Yes,1.110.000.000
MPV,Staria,7,4,2199,175,Yes,Yes,Diesel,Automatic,Yes,Yes,1.030.000.000
Sedan,CLA Class,5,4,1991,421,Yes,Yes,Bensin,Automatic,Yes,Yes,1.790.000.000
Sedan,E CLass,5,4,1991,197,Yes,Yes,Bensin,Automatic,Yes,Yes,1.770.000.000
SUV,Compass,5,4,2398,180,Yes,Yes,Bensin,Automatic,Yes,Yes,699.000.000
Crossover,Lexus UX,5,4,1987,202,Yes,Yes,Bensin,CVT,Yes,Yes,998.000.000
Hatchback,Mazda 3 Hatchback,5,4,1998,153,Yes,Yes,Bensin,Automatic,No,Yes,523.300.000
Hatchback,Fiat 500C,4,4,1368,101,Yes,No,Bensin,Automatic,No,No,425.000.000
Coupe ,Supra,2,6,2998,382,Yes,Yes,Bensin,Automatic,Yes,Yes,2.050.000.000
Coupe ,BRZ,2,4,2387,233,Yes,Yes,Bensin,Automatic,No,Yes,850.00.000
